animal	dpi	weight
321	51	24.9
322	51	20.4
323	51	21.3
324	51	21.2
325	51	20.9
326	51	24
327	51	20.2
328	51	21.5
329	51	20
330	51	20.7
271	53	22.2
272	53	22.6
273	53	26
274	53	23.6
275	53	24.2
286	53	23.2
287	53	21.7
288	53	25.2
289	53	20.5
290	53	27.1
271	87	23
272	87	24.2
273	87	27.6
274	87	26.2
275	87	25.7
286	87	26
287	87	24.1
288	87	27
289	87	22
290	87	29.3
321	87	25.4
322	87	22.4
323	87	22.7
324	87	23.9
325	87	22.6
326	87	25.4
327	87	22.4
328	87	23.7
329	87	22.3
330	87	22.9
271	117	21.3
272	117	23.8
273	117	27.1
274	117	25.1
275	117	26.2
286	117	24.7
287	117	22.1
288	117	25.6
289	117	21.9
290	117	27.8
321	117	25.3
322	117	22.1
323	117	21.1
324	117	23.8
325	117	24.3
326	117	24.2
327	117	20.7
328	117	23
329	117	21.3
330	117	21.1
271	132	18.2
273	132	24.3
274	132	23.3
286	132	23.7
287	132	20.7
288	132	24.6
289	132	20.6
290	132	26.2
321	132	24.6
322	132	20.9
323	132	20
324	132	22.3
325	132	22.4
326	132	22.9
327	132	19.1
328	132	20.6
329	132	20.7
330	132	19.2
323	137	16.8
271	147	18.7
273	147	23.3
274	147	23.1
286	147	24
287	147	21.2
288	147	24.7
289	147	20.5
290	147	25.9
321	147	20.9
322	147	20.1
324	147	20.6
325	147	19.9
326	147	22.5
327	147	18.3
328	147	10.1
329	147	19.5
330	147	19
271	153	19.4
273	153	23.8
274	153	23.8
286	153	24.8
287	153	20.9
288	153	26.7
289	153	21.3
290	153	26.8
321	153	19.8
322	153	18.8
324	153	18.9
325	153	17.8
326	153	23.2
327	153	19.7
328	153	18.3
329	153	20.3
330	153	19.8
271	160	20.3
273	160	24.6
274	160	24.1
286	160	24.8
287	160	21.4
288	160	27.6
289	160	21.3
290	160	27.5
322	160	18.3
322	160	17.7
324	160	20.2
325	160	18.4
326	160	22.4
327	160	19.5
328	160	16.5
328	160	16.5
329	160	19.7
330	160	18.1
327	162	15.9
325	163	16.5
330	164	16.5
324	166	17
271	169	20.4
273	169	24.1
274	169	24.2
286	169	24.7
287	169	21.4
288	169	27.9
289	169	20.4
290	169	26.4
326	169	20.2
329	169	17.9
326	171	19.3
329	171	16.4
271	180	20.2
273	180	24.6
274	180	24.5
286	180	25.2
287	180	23.2
288	180	28.6
289	180	21.2
290	180	26.9
271	187	21.6
273	187	27
274	187	25.1
286	187	26
287	187	22.2
288	187	26.6
289	187	21.2
290	187	28.4
271	193	21
273	193	25.8
274	193	25.1
286	193	26.6
287	193	22.5
288	193	27.8
289	193	21.4
290	193	28.8
271	203	20.9
273	203	26.2
274	203	26.1
286	203	28
287	203	22.4
288	203	26
289	203	21.7
290	203	30
271	210	20.6
273	210	24.8
274	210	24.5
286	210	28.3
287	210	22.3
288	210	27
289	210	21.9
290	210	30.4
271	217	20.4
273	217	24.8
274	217	24.5
286	217	28.7
287	217	22.3
288	217	27.2
289	217	21.6
290	217	30
271	222	20.7
273	222	24.4
274	222	24.1
286	222	30
287	222	22.1
288	222	26.2
289	222	21.7
290	222	28.6
271	233	19.6
273	233	23.5
274	233	25.5
286	233	27.6
287	233	20.9
288	233	23.1
289	233	21.6
290	233	26.3
271	239	17.9
271	239	17.3
273	239	22.7
274	239	23.4
286	239	26.7
287	239	21.4
288	239	23.7
289	239	22.1
290	239	26.9
273	243	19.7
274	245	24.2
286	245	27.3
287	245	21.7
288	245	25
289	245	22.1
290	245	26.9
274	246	20.6
286	251	25.7
287	251	19.6
288	251	22.4
289	251	19.8
290	251	23
290	251	22.3
287	256	19.6
288	256	20.3
289	256	19.5
286	275	21.9
286	277	18.5
