animal	cohort	dpi	status
400	uninoculated	190	0
401	uninoculated	190	0
402	uninoculated	190	0
403	uninoculated	190	0
404	uninoculated	190	0
405	uninoculated	190	0
406	uninoculated	190	0
407	uninoculated	190	0
408	uninoculated	59	0
409	uninoculated	190	0
410	uninoculated	190	0
411	uninoculated	125	0
426	RML	157	1
427	RML	162	1
430	RML	162	1
431	RML	166	1
432	RML	164	1
433	RML	177	1
434	RML	166	1
437	RML	166	1
438	RML	149	1
439	RML	160	1
440	RML	162	1
442	RML	187	1
