dpi	animal	trial	latency
90	407	trial_5	438.8
90	407	trial_6	600
90	407	trial_7	348.8
90	407	trial_8	360.5
90	407	trial_9	600
90	409	trial_4	273.9
90	409	trial_5	284.2
90	409	trial_6	308.8
90	409	trial_7	404.6
90	409	trial_8	348.6
90	409	trial_9	316.4
90	410	trial_4	270.1
90	410	trial_5	276.3
90	410	trial_6	327.6
90	410	trial_7	252.4
90	410	trial_8	250.9
90	410	trial_9	235.6
90	411	trial_4	600
90	411	trial_5	600
90	411	trial_6	29.6
90	411	trial_7	600
90	411	trial_8	600
90	411	trial_9	600
90	426	trial_4	281
90	426	trial_5	250
90	426	trial_6	269.7
90	426	trial_7	192.9
90	426	trial_8	272.7
90	426	trial_9	181.8
90	427	trial_4	600
90	427	trial_5	600
90	427	trial_6	376
90	427	trial_7	474.9
90	427	trial_8	600
90	427	trial_9	351.8
90	430	trial_4	137.1
90	430	trial_5	232.2
90	430	trial_6	272.8
90	430	trial_7	160.8
90	430	trial_8	174.6
90	430	trial_9	172.1
90	431	trial_4	74.4
90	431	trial_5	92.8
90	431	trial_6	264.6
90	431	trial_7	125.8
90	431	trial_8	169.3
90	431	trial_9	158.9
90	432	trial_4	119.7
90	432	trial_4	267
90	432	trial_5	241.2
90	432	trial_5	154.8
90	432	trial_6	262.6
90	432	trial_6	13.4
90	432	trial_7	268.8
90	432	trial_7	188.6
90	432	trial_8	179.6
90	432	trial_8	166.5
90	432	trial_9	238
90	432	trial_9	297.9
90	433	trial_4	205.2
90	433	trial_5	128.2
90	433	trial_6	259.6
90	433	trial_7	259.2
90	433	trial_8	207.3
90	433	trial_9	18.54
90	437	trial_4	68.3
90	437	trial_5	248.1
90	437	trial_6	600
90	437	trial_7	362.6
90	437	trial_8	314.3
90	437	trial_9	243.3
90	438	trial_4	235.8
90	438	trial_5	218.6
90	438	trial_6	265.6
90	438	trial_7	223.8
90	438	trial_8	115.1
90	438	trial_9	258.2
90	439	trial_4	313.5
90	439	trial_5	202.3
90	439	trial_6	307.9
90	439	trial_7	229.4
90	439	trial_8	322.2
90	439	trial_9	239.8
90	440	trial_4	248.7
90	440	trial_5	153
90	440	trial_6	239.1
90	440	trial_7	134.4
90	440	trial_8	146.4
90	440	trial_9	232.9
90	442	trial_4	336.2
90	442	trial_5	351
90	442	trial_6	600
90	442	trial_7	600
90	442	trial_8	543.6
90	442	trial_9	5.8
120	400	trial_4	318.2
120	400	trial_5	438.3
120	400	trial_6	269.4
120	400	trial_7	375.4
120	400	trial_8	316.3
120	400	trial_9	256.2
120	401	trial_4	418.9
120	401	trial_5	600.9
120	401	trial_7	391.9
120	401	trial_8	306.8
120	401	trial_9	380.7
120	402	trial_4	229
120	402	trial_5	177.5
120	402	trial_6	250.8
120	402	trial_7	172.6
120	402	trial_8	189.1
120	402	trial_9	151.3
120	403	trial_4	600.3
120	403	trial_5	600.9
120	403	trial_6	531.2
120	403	trial_7	600.1
120	403	trial_8	600.7
120	403	trial_9	600.8
120	404	trial_4	427.8
120	404	trial_5	412.6
120	404	trial_6	445.3
120	404	trial_7	433.7
120	404	trial_8	390.9
120	404	trial_9	462.4
120	405	trial_4	268.4
120	405	trial_5	171.5
120	405	trial_6	205.7
120	405	trial_7	282.8
120	405	trial_8	280
120	405	trial_9	152.7
120	406	trial_4	407.2
120	406	trial_5	327.9
120	406	trial_6	305.5
120	406	trial_7	442.9
120	406	trial_8	361
120	406	trial_9	328.2
120	407	trial_4	335.8
120	407	trial_5	182
120	407	trial_6	295.6
120	407	trial_7	600.8
120	407	trial_8	424.3
120	407	trial_9	362.4
120	409	trial_4	507.6
120	409	trial_5	115.2
120	409	trial_6	272
120	409	trial_7	408.3
120	409	trial_8	370.7
120	409	trial_9	69
120	410	trial_4	252.5
120	410	trial_5	283.2
120	410	trial_6	223.8
120	410	trial_7	265
120	410	trial_8	298.2
120	410	trial_9	232.5
120	411	trial_4	600.6
120	411	trial_5	402.7
120	411	trial_6	600.5
120	411	trial_7	600.3
120	411	trial_8	600.5
120	411	trial_9	600.3
120	426	trial_4	202.1
120	426	trial_5	208
120	426	trial_6	254
