expt	cohort	animal	cage	strain	treatment	dose	timepoint	display	color	lty	x
S	S-OSU-ACTIVE1	SBY4	SBY	OSU	active ASO 1	500	-14	active ASO 1	#0909FF	1	5
S	S-OSU-PBS	SCY1	SCY	OSU	saline	0	-14	saline	#7C7C7C	1	5
S	S-OSU-PBS	SCY2	SCY	OSU	saline	0	-14	saline	#7C7C7C	1	5
S	S-OSU-PBS	SCY3	SCY	OSU	saline	0	-14	saline	#7C7C7C	1	5
S	S-OSU-PBS	SCY4	SCY	OSU	saline	0	-14	saline	#7C7C7C	1	5
S	S-OSU-ACTIVE1	SDY1	SDY	OSU	active ASO 1	500	-14	active ASO 1	#0909FF	1	5
S	S-OSU-ACTIVE1	SDY2	SDY	OSU	active ASO 1	500	-14	active ASO 1	#0909FF	1	5
S	S-OSU-ACTIVE1	SDY3	SDY	OSU	active ASO 1	500	-14	active ASO 1	#0909FF	1	5
S	S-OSU-ACTIVE1	SDY4	SDY	OSU	active ASO 1	500	NA	active ASO 1	#0909FF	1	5
S	S-22L-PBS	SEY1	SEY	22L	saline	0	-14	saline	#7C7C7C	1	2
S	S-22L-PBS	SEY2	SEY	22L	saline	0	-14	saline	#7C7C7C	1	2
S	S-22L-PBS	SEY3	SEY	22L	saline	0	-14	saline	#7C7C7C	1	2
S	S-22L-PBS	SEY4	SEY	22L	saline	0	-14	saline	#7C7C7C	1	2
S	S-22L-ACTIVE1	SFY1	SFY	22L	active ASO 1	500	-14	active ASO 1	#0909FF	1	2
S	S-22L-ACTIVE1	SFY2	SFY	22L	active ASO 1	500	-14	active ASO 1	#0909FF	1	2
S	S-22L-ACTIVE1	SFY3	SFY	22L	active ASO 1	500	-14	active ASO 1	#0909FF	1	2
S	S-22L-ACTIVE1	SFY4	SFY	22L	active ASO 1	500	-14	active ASO 1	#0909FF	1	2
S	S-22L-PBS	SGY1	SGY	22L	saline	0	-14	saline	#7C7C7C	1	2
S	S-22L-PBS	SGY2	SGY	22L	saline	0	-14	saline	#7C7C7C	1	2
S	S-22L-PBS	SGY3	SGY	22L	saline	0	-14	saline	#7C7C7C	1	2
S	S-22L-PBS	SGY4	SGY	22L	saline	0	-14	saline	#7C7C7C	1	2
S	S-22L-ACTIVE1	SHY1	SHY	22L	active ASO 1	500	-14	active ASO 1	#0909FF	1	2
S	S-22L-ACTIVE1	SHY2	SHY	22L	active ASO 1	500	-14	active ASO 1	#0909FF	1	2
S	S-22L-ACTIVE1	SHY3	SHY	22L	active ASO 1	500	-14	active ASO 1	#0909FF	1	2
S	S-22L-ACTIVE1	SHY4	SHY	22L	active ASO 1	500	-14	active ASO 1	#0909FF	1	2
S	S-RML-PBS	SIY1	SIY	RML	saline	0	-14	saline	#7C7C7C	1	1
S	S-RML-PBS	SIY2	SIY	RML	saline	0	-14	saline	#7C7C7C	1	1
S	S-RML-PBS	SIY3	SIY	RML	saline	0	-14	saline	#7C7C7C	1	1
S	S-RML-PBS	SIY4	SIY	RML	saline	0	-14	saline	#7C7C7C	1	1
S	S-RML-ACTIVE1	SJY1	SJY	RML	active ASO 1	500	-14	active ASO 1	#0909FF	1	1
S	S-RML-ACTIVE1	SJY2	SJY	RML	active ASO 1	500	-14	active ASO 1	#0909FF	1	1
S	S-RML-ACTIVE1	SJY3	SJY	RML	active ASO 1	500	-14	active ASO 1	#0909FF	1	1
S	S-RML-ACTIVE1	SJY4	SJY	RML	active ASO 1	500	-14	active ASO 1	#0909FF	1	1
S	S-ME7-PBS	SAZ1	SAZ	ME7	saline	0	-14	saline	#7C7C7C	1	4
S	S-ME7-PBS	SAZ2	SAZ	ME7	saline	0	-14	saline	#7C7C7C	1	4
S	S-ME7-PBS	SAZ3	SAZ	ME7	saline	0	-14	saline	#7C7C7C	1	4
S	S-ME7-PBS	SAZ4	SAZ	ME7	saline	0	-14	saline	#7C7C7C	1	4
S	S-ME7-ACTIVE1	SBZ1	SBZ	ME7	active ASO 1	500	-14	active ASO 1	#0909FF	1	4
S	S-ME7-ACTIVE1	SBZ2	SBZ	ME7	active ASO 1	500	-14	active ASO 1	#0909FF	1	4
S	S-ME7-ACTIVE1	SBZ3	SBZ	ME7	active ASO 1	500	-14	active ASO 1	#0909FF	1	4
S	S-ME7-ACTIVE1	SBZ4	SBZ	ME7	active ASO 1	500	-14	active ASO 1	#0909FF	1	4
S	S-ME7-PBS	SCZ1	SCZ	ME7	saline	0	-14	saline	#7C7C7C	1	4
S	S-ME7-PBS	SCZ2	SCZ	ME7	saline	0	-14	saline	#7C7C7C	1	4
