expt	cohort	animal	cage	strain	treatment	dose	timepoint	display	color	lty	x
P	d120-MOE-ACTIVE6	PE2	PE	RML	active ASO 6	500	119	active ASO 6	#41B6C4	1	3
P	d120-MOE-ACTIVE6	PE3	PE	RML	active ASO 6	500	119	active ASO 6	#41B6C4	1	3
P	d120-MOE-ACTIVE6	PE4	PE	RML	active ASO 6	500	119	active ASO 6	#41B6C4	1	3
P	path-RML	PF1	PF	RML	no treatment	0	NA			NA	NA
P	path-RML	PF2	PF	RML	no treatment	0	NA			NA	NA
P	path-RML	PF3	PF	RML	no treatment	0	NA			NA	NA
P	path-RML	PF4	PF	RML	no treatment	0	NA			NA	NA
P	d120-MOE-PBS	PG1	PG	RML	saline	500	119	saline	#7C7C7C	1	1
P	d120-MOE-PBS	PG2	PG	RML	saline	500	119	saline	#7C7C7C	1	1
P	d120-MOE-CONTROL4	PG3	PG	RML	control ASO 4	500	120	control ASO 4	#855E42	1	4
P	d120-MOE-CONTROL4	PG4	PG	RML	control ASO 4	500	120	control ASO 4	#855E42	1	4
P	d120-MOE-ACTIVE5	PH1	PH	RML	active ASO 5	500	120	active ASO 5	#C21FB8	1	2
P	d120-MOE-ACTIVE5	PH2	PH	RML	active ASO 5	500	120	active ASO 5	#C21FB8	1	2
P	d120-MOE-ACTIVE6	PH3	PH	RML	active ASO 6	500	119	active ASO 6	#41B6C4	1	3
P	d120-MOE-ACTIVE6	PH4	PH	RML	active ASO 6	500	119	active ASO 6	#41B6C4	1	3
P	d120-MOE-PBS	PI1	PI	RML	saline	0	119	saline	#7C7C7C	1	1
P	d120-MOE-PBS	PI2	PI	RML	saline	0	119	saline	#7C7C7C	1	1
P	d120-MOE-PBS	PI3	PI	RML	saline	0	119	saline	#7C7C7C	1	1
P	d120-MOE-PBS	PI4	PI	RML	saline	0	119	saline	#7C7C7C	1	1
P	d120-MOE-CONTROL4	PJ1	PJ	RML	control ASO 4	500	120	control ASO 4	#855E42	1	4
P	d120-MOE-CONTROL4	PJ2	PJ	RML	control ASO 4	500	120	control ASO 4	#855E42	1	4
P	d120-MOE-CONTROL4	PJ3	PJ	RML	control ASO 4	500	120	control ASO 4	#855E42	1	4
P	d120-MOE-CONTROL4	PJ4	PJ	RML	control ASO 4	500	120	control ASO 4	#855E42	1	4
P	d120-MOE-ACTIVE5	PK1	PK	RML	active ASO 5	500	120	active ASO 5	#C21FB8	1	2
P	d120-MOE-ACTIVE5	PK2	PK	RML	active ASO 5	500	120	active ASO 5	#C21FB8	1	2
P	d120-MOE-ACTIVE5	PK3	PK	RML	active ASO 5	500	120	active ASO 5	#C21FB8	1	2
P	d120-MOE-ACTIVE5	PK4	PK	RML	active ASO 5	500	120	active ASO 5	#C21FB8	1	2
P	d120-MOE-ACTIVE6	PL1	PL	RML	active ASO 6	500	119	active ASO 6	#41B6C4	1	3
P	d120-MOE-ACTIVE6	PL2	PL	RML	active ASO 6	500	119	active ASO 6	#41B6C4	1	3
P	d120-MOE-ACTIVE6	PL3	PL	RML	active ASO 6	500	119	active ASO 6	#41B6C4	1	3
P	d120-MOE-ACTIVE6	PL4	PL	RML	active ASO 6	500	119	active ASO 6	#41B6C4	1	3
R	R-PBS	RA1	RA	RML[ASO]	saline	0	-14	saline	#7C7C7C	1	6
R	R-PBS	RA2	RA	RML[ASO]	saline	0	-14	saline	#7C7C7C	1	6
R	R-PBS	RA3	RA	RML[ASO]	saline	0	-14	saline	#7C7C7C	1	6
R	R-PBS	RA4	RA	RML[ASO]	saline	0	-14	saline	#7C7C7C	1	6
R	R-ACTIVE1	RB1	RB	RML[ASO]	active ASO 1	500	-14	active ASO 1	#0909FF	1	6
R	R-ACTIVE1	RB2	RB	RML[ASO]	active ASO 1	500	-14	active ASO 1	#0909FF	1	6
R	R-ACTIVE1	RB3	RB	RML[ASO]	active ASO 1	500	-14	active ASO 1	#0909FF	1	6
R	R-ACTIVE1	RB4	RB	RML[ASO]	active ASO 1	500	-14	active ASO 1	#0909FF	1	6
R	R-PBS	RC1	RC	RML[ASO]	saline	0	-14	saline	#7C7C7C	1	6
R	R-PBS	RC2	RC	RML[ASO]	saline	0	-14	saline	#7C7C7C	1	6
R	R-PBS	RC3	RC	RML[ASO]	saline	0	-14	saline	#7C7C7C	1	6
R	R-PBS	RC4	RC	RML[ASO]	saline	0	-14	saline	#7C7C7C	1	6
R	R-ACTIVE1	RD1	RD	RML[ASO]	active ASO 1	500	-14	active ASO 1	#0909FF	1	6
R	R-ACTIVE1	RD2	RD	RML[ASO]	active ASO 1	500	-14	active ASO 1	#0909FF	1	6
R	R-ACTIVE1	RD3	RD	RML[ASO]	active ASO 1	500	-14	active ASO 1	#0909FF	1	6
R	R-ACTIVE1	RD4	RD	RML[ASO]	active ASO 1	500	-14	active ASO 1	#0909FF	1	6
Z	Z-22L-PBS	ZA1	ZA	22L	saline	0	127	22L	#7C7C7C	1	2
Z	Z-22L-PBS	ZA2	ZA	22L	saline	0	127	22L	#7C7C7C	1	2
Z	Z-22L-PBS	ZA3	ZA	22L	saline	0	127	22L	#7C7C7C	1	2
Z	Z-22L-PBS	ZA4	ZA	22L	saline	0	127	22L	#7C7C7C	1	2
Z	Z-22L-PBS	ZB1	ZB	22L	saline	0	127	22L	#7C7C7C	1	2
Z	Z-22L-PBS	ZB2	ZB	22L	saline	0	127	22L	#7C7C7C	1	2
Z	Z-22L-PBS	ZB3	ZB	22L	saline	0	127	22L	#7C7C7C	1	2
Z	Z-22L-PBS	ZB4	ZB	22L	saline	0	127	22L	#7C7C7C	1	2
Z	Z-22L-ACTIVE6	ZC1	ZC	22L	active ASO 6	500	127	22L	#41B6C4	1	2
Z	Z-22L-ACTIVE6	ZC2	ZC	22L	active ASO 6	500	NA	22L	#41B6C4	1	2
Z	Z-22L-ACTIVE6	ZC3	ZC	22L	active ASO 6	500	127	22L	#41B6C4	1	2
Z	Z-22L-ACTIVE6	ZC4	ZC	22L	active ASO 6	500	127	22L	#41B6C4	1	2
Z	Z-22L-ACTIVE6	ZD1	ZD	22L	active ASO 6	500	127	22L	#41B6C4	1	2
Z	Z-22L-ACTIVE6	ZD2	ZD	22L	active ASO 6	500	127	22L	#41B6C4	1	2
Z	Z-22L-ACTIVE6	ZD3	ZD	22L	active ASO 6	500	127	22L	#41B6C4	1	2
Z	Z-22L-ACTIVE6	ZD4	ZD	22L	active ASO 6	500	127	22L	#41B6C4	1	2
Z	Z-OSU-PBS	ZE1	ZE	OSU	saline	0	122	OSU	#7C7C7C	1	5
Z	Z-OSU-PBS	ZE2	ZE	OSU	saline	0	122	OSU	#7C7C7C	1	5
Z	Z-OSU-PBS	ZE3	ZE	OSU	saline	0	122	OSU	#7C7C7C	1	5
Z	Z-OSU-PBS	ZE4	ZE	OSU	saline	0	122	OSU	#7C7C7C	1	5
Z	Z-OSU-PBS	ZF1	ZF	OSU	saline	0	122	OSU	#7C7C7C	1	5
Z	Z-OSU-PBS	ZF2	ZF	OSU	saline	0	122	OSU	#7C7C7C	1	5
Z	Z-OSU-PBS	ZF3	ZF	OSU	saline	0	122	OSU	#7C7C7C	1	5
Z	Z-OSU-PBS	ZF4	ZF	OSU	saline	0	122	OSU	#7C7C7C	1	5
Z	Z-OSU-ACTIVE6	ZG1	ZG	OSU	active ASO 6	500	122	OSU	#41B6C4	1	5
Z	Z-OSU-ACTIVE6	ZG2	ZG	OSU	active ASO 6	500	122	OSU	#41B6C4	1	5
Z	Z-OSU-ACTIVE6	ZG3	ZG	OSU	active ASO 6	500	122	OSU	#41B6C4	1	5
Z	Z-OSU-ACTIVE6	ZG4	ZG	OSU	active ASO 6	500	122	OSU	#41B6C4	1	5
Z	Z-OSU-ACTIVE6	ZH1	ZH	OSU	active ASO 6	500	122	OSU	#41B6C4	1	5
Z	Z-OSU-ACTIVE6	ZH2	ZH	OSU	active ASO 6	500	122	OSU	#41B6C4	1	5
Z	Z-OSU-ACTIVE6	ZH3	ZH	OSU	active ASO 6	500	122	OSU	#41B6C4	1	5
Z	Z-OSU-ACTIVE6	ZH4	ZH	OSU	active ASO 6	500	NA	OSU	#41B6C4	1	5
Z	Z-RML-PBS	ZI1	ZI	RML	saline	0	123	RML	#7C7C7C	1	1
Z	Z-RML-PBS	ZI2	ZI	RML	saline	0	123	RML	#7C7C7C	1	1
Z	Z-RML-PBS	ZI3	ZI	RML	saline	0	123	RML	#7C7C7C	1	1
Z	Z-RML-PBS	ZI4	ZI	RML	saline	0	123	RML	#7C7C7C	1	1
Z	Z-RML-PBS	ZJ1	ZJ	RML	saline	0	123	RML	#7C7C7C	1	1
Z	Z-RML-PBS	ZJ2	ZJ	RML	saline	0	123	RML	#7C7C7C	1	1
Z	Z-RML-PBS	ZJ3	ZJ	RML	saline	0	123	RML	#7C7C7C	1	1
Z	Z-RML-PBS	ZJ4	ZJ	RML	saline	0	123	RML	#7C7C7C	1	1
Z	Z-RML-ACTIVE6	ZK1	ZK	RML	active ASO 6	500	123	RML	#41B6C4	1	1
Z	Z-RML-ACTIVE6	ZK2	ZK	RML	active ASO 6	500	123	RML	#41B6C4	1	1
Z	Z-RML-ACTIVE6	ZK3	ZK	RML	active ASO 6	500	123	RML	#41B6C4	1	1
Z	Z-RML-ACTIVE6	ZK4	ZK	RML	active ASO 6	500	123	RML	#41B6C4	1	1
Z	Z-RML-ACTIVE6	ZL1	ZL	RML	active ASO 6	500	123	RML	#41B6C4	1	1
Z	Z-RML-ACTIVE6	ZL2	ZL	RML	active ASO 6	500	123	RML	#41B6C4	1	1
Z	Z-RML-ACTIVE6	ZL3	ZL	RML	active ASO 6	500	123	RML	#41B6C4	1	1
Z	Z-RML-ACTIVE6	ZL4	ZL	RML	active ASO 6	500	123	RML	#41B6C4	1	1
Z	Z-ME7-PBS	ZM1	ZM	ME7	saline	0	129	ME7	#7C7C7C	1	4
Z	Z-ME7-PBS	ZM2	ZM	ME7	saline	0	129	ME7	#7C7C7C	1	4
Z	Z-ME7-PBS	ZM3	ZM	ME7	saline	0	129	ME7	#7C7C7C	1	4
Z	Z-ME7-PBS	ZM4	ZM	ME7	saline	0	129	ME7	#7C7C7C	1	4
Z	Z-ME7-PBS	ZN1	ZN	ME7	saline	0	129	ME7	#7C7C7C	1	4
Z	Z-ME7-PBS	ZN2	ZN	ME7	saline	0	129	ME7	#7C7C7C	1	4
Z	Z-ME7-PBS	ZN3	ZN	ME7	saline	0	129	ME7	#7C7C7C	1	4
Z	Z-ME7-PBS	ZN4	ZN	ME7	saline	0	129	ME7	#7C7C7C	1	4
Z	Z-ME7-ACTIVE6	ZO1	ZO	ME7	active ASO 6	500	129	ME7	#41B6C4	1	4
Z	Z-ME7-ACTIVE6	ZO2	ZO	ME7	active ASO 6	500	129	ME7	#41B6C4	1	4
Z	Z-ME7-ACTIVE6	ZO3	ZO	ME7	active ASO 6	500	129	ME7	#41B6C4	1	4
Z	Z-ME7-ACTIVE6	ZO4	ZO	ME7	active ASO 6	500	129	ME7	#41B6C4	1	4
Z	Z-ME7-ACTIVE6	ZP1	ZP	ME7	active ASO 6	500	129	ME7	#41B6C4	1	4
Z	Z-ME7-ACTIVE6	ZP2	ZP	ME7	active ASO 6	500	129	ME7	#41B6C4	1	4
Z	Z-ME7-ACTIVE6	ZP3	ZP	ME7	active ASO 6	500	129	ME7	#41B6C4	1	4
Z	Z-ME7-ACTIVE6	ZP4	ZP	ME7	active ASO 6	500	129	ME7	#41B6C4	1	4
Z	Z-Fu1-PBS	ZQ1	ZQ	Fukuoka-1	saline	0	128	Fukuoka-1	#7C7C7C	1	3
Z	Z-Fu1-PBS	ZQ2	ZQ	Fukuoka-1	saline	0	128	Fukuoka-1	#7C7C7C	1	3
Z	Z-Fu1-PBS	ZQ3	ZQ	Fukuoka-1	saline	0	128	Fukuoka-1	#7C7C7C	1	3
Z	Z-Fu1-PBS	ZQ4	ZQ	Fukuoka-1	saline	0	128	Fukuoka-1	#7C7C7C	1	3
Z	Z-Fu1-PBS	ZR1	ZR	Fukuoka-1	saline	0	128	Fukuoka-1	#7C7C7C	1	3
Z	Z-Fu1-PBS	ZR2	ZR	Fukuoka-1	saline	0	128	Fukuoka-1	#7C7C7C	1	3
Z	Z-Fu1-PBS	ZR3	ZR	Fukuoka-1	saline	0	128	Fukuoka-1	#7C7C7C	1	3
Z	Z-Fu1-PBS	ZR4	ZR	Fukuoka-1	saline	0	128	Fukuoka-1	#7C7C7C	1	3
Z	Z-Fu1-ACTIVE6	ZS1	ZS	Fukuoka-1	active ASO 6	500	128	Fukuoka-1	#41B6C4	1	3
Z	Z-Fu1-ACTIVE6	ZS2	ZS	Fukuoka-1	active ASO 6	500	128	Fukuoka-1	#41B6C4	1	3
Z	Z-Fu1-ACTIVE6	ZS3	ZS	Fukuoka-1	active ASO 6	500	128	Fukuoka-1	#41B6C4	1	3
Z	Z-Fu1-ACTIVE6	ZS4	ZS	Fukuoka-1	active ASO 6	500	128	Fukuoka-1	#41B6C4	1	3
Z	Z-Fu1-ACTIVE6	ZT1	ZT	Fukuoka-1	active ASO 6	500	128	Fukuoka-1	#41B6C4	1	3
Z	Z-Fu1-ACTIVE6	ZT2	ZT	Fukuoka-1	active ASO 6	500	128	Fukuoka-1	#41B6C4	1	3
Z	Z-Fu1-ACTIVE6	ZT3	ZT	Fukuoka-1	active ASO 6	500	128	Fukuoka-1	#41B6C4	1	3
Z	Z-Fu1-ACTIVE6	ZT4	ZT	Fukuoka-1	active ASO 6	500	128	Fukuoka-1	#41B6C4	1	3
Q	Q-PBS	QA1	QA	22L	saline	0	-13	saline	#7C7C7C	1	2
Q	Q-PBS	QA2	QA	22L	saline	0	-13	saline	#7C7C7C	1	2
Q	Q-PBS	QA3	QA	22L	saline	0	-13	saline	#7C7C7C	1	2
Q	Q-PBS	QA4	QA	22L	saline	0	-13	saline	#7C7C7C	1	2
Q	Q-PBS	QB1	QB	22L	saline	0	-13	saline	#7C7C7C	1	2
Q	Q-PBS	QB2	QB	22L	saline	0	-13	saline	#7C7C7C	1	2
Q	Q-PBS	QB3	QB	22L	saline	0	-13	saline	#7C7C7C	1	2
Q	Q-PBS	QB4	QB	22L	saline	0	-13	saline	#7C7C7C	1	2
Q	Q-ACTIVE1	QC1	QC	22L	active ASO 1	500	-13	active ASO 1	#0909FF	1	2
Q	Q-ACTIVE1	QC2	QC	22L	active ASO 1	500	-13	active ASO 1	#0909FF	1	2
Q	Q-ACTIVE1	QC3	QC	22L	active ASO 1	500	-13	active ASO 1	#0909FF	1	2
Q	Q-ACTIVE1	QC4	QC	22L	active ASO 1	500	-13	active ASO 1	#0909FF	1	2
Q	Q-ACTIVE1	QD1	QD	22L	active ASO 1	500	-13	active ASO 1	#0909FF	1	2
Q	Q-ACTIVE1	QD2	QD	22L	active ASO 1	500	-13	active ASO 1	#0909FF	1	2
Q	Q-ACTIVE1	QD3	QD	22L	active ASO 1	500	-13	active ASO 1	#0909FF	1	2
Q	Q-ACTIVE1	QD4	QD	22L	active ASO 1	500	-13	active ASO 1	#0909FF	1	2
01	01-PBS	A1	A	RML	saline	500	-13	saline	#7C7C7C	1	3
01	01-PBS	A2	A	RML	saline	500	-13	saline	#7C7C7C	1	3
01	01-PBS	A3	A	RML	saline	500	-13	saline	#7C7C7C	1	3
01	01-PBS	A4	A	RML	saline	500	-13	saline	#7C7C7C	1	3
01	01-CONTROL3	B1	B	RML	control ASO 3	500	-13	control ASO 3	#91724A	1	6
01	01-CONTROL3	B2	B	RML	control ASO 3	500	-13	control ASO 3	#91724A	1	6
01	01-CONTROL3	B3	B	RML	control ASO 3	500	-13	control ASO 3	#91724A	1	6
01	01-CONTROL3	B4	B	RML	control ASO 3	500	-13	control ASO 3	#91724A	1	6
01	01-ACTIVE1	C1	C	RML	active ASO 1	500	-13	active ASO 1	#0909FF	1	4
01	01-ACTIVE1	C2	C	RML	active ASO 1	500	-13	active ASO 1	#0909FF	1	4
01	01-ACTIVE1	C3	C	RML	active ASO 1	500	-13	active ASO 1	#0909FF	1	4
01	01-ACTIVE1	C4	C	RML	active ASO 1	500	-13	active ASO 1	#0909FF	1	4
01	01-ACTIVE2	D1	D	RML	active ASO 2	500	-13	active ASO 2	#09C009	1	5
01	01-ACTIVE2	D2	D	RML	active ASO 2	500	-13	active ASO 2	#09C009	1	5
01	01-ACTIVE2	D3	D	RML	active ASO 2	500	-13	active ASO 2	#09C009	1	5
01	01-ACTIVE2	D4	D	RML	active ASO 2	500	-13	active ASO 2	#09C009	1	5
01	01-PBS	E1	E	RML	saline	500	-13	saline	#7C7C7C	1	3
01	01-PBS	E2	E	RML	saline	500	-13	saline	#7C7C7C	1	3
01	01-PBS	E3	E	RML	saline	500	-13	saline	#7C7C7C	1	3
01	01-PBS	E4	E	RML	saline	500	-13	saline	#7C7C7C	1	3
01	01-CONTROL3	F1	F	RML	control ASO 3	500	-13	control ASO 3	#91724A	1	6
01	01-CONTROL3	F2	F	RML	control ASO 3	500	-13	control ASO 3	#91724A	1	6
01	01-CONTROL3	F3	F	RML	control ASO 3	500	-13	control ASO 3	#91724A	1	6
01	01-CONTROL3	F4	F	RML	control ASO 3	500	-13	control ASO 3	#91724A	1	6
01	01-ACTIVE1	G1	G	RML	active ASO 1	500	-13	active ASO 1	#0909FF	1	4
01	01-ACTIVE1	G2	G	RML	active ASO 1	500	-13	active ASO 1	#0909FF	1	4
01	01-ACTIVE1	G3	G	RML	active ASO 1	500	-13	active ASO 1	#0909FF	1	4
01	01-ACTIVE1	G4	G	RML	active ASO 1	500	-13	active ASO 1	#0909FF	1	4
01	01-ACTIVE2	H1	H	RML	active ASO 2	500	-13	active ASO 2	#09C009	1	5
01	01-ACTIVE2	H2	H	RML	active ASO 2	500	-13	active ASO 2	#09C009	1	5
01	01-ACTIVE2	H3	H	RML	active ASO 2	500	-13	active ASO 2	#09C009	1	5
01	01-ACTIVE2	H4	H	RML	active ASO 2	500	-13	active ASO 2	#09C009	1	5
01	01-PBS	I1	I	RML	saline	500	-13	saline	#7C7C7C	1	3
01	01-PBS	I2	I	RML	saline	500	-13	saline	#7C7C7C	1	3
01	01-PBS	I3	I	RML	saline	500	-13	saline	#7C7C7C	1	3
01	01-PBS	I4	I	RML	saline	500	-13	saline	#7C7C7C	1	3
01	01-CONTROL3	J1	J	RML	control ASO 3	500	-13	control ASO 3	#91724A	1	6
01	01-CONTROL3	J2	J	RML	control ASO 3	500	-13	control ASO 3	#91724A	1	6
01	01-CONTROL3	J3	J	RML	control ASO 3	500	-13	control ASO 3	#91724A	1	6
01	01-CONTROL3	J4	J	RML	control ASO 3	500	-13	control ASO 3	#91724A	1	6
01	01-ACTIVE1	K1	K	RML	active ASO 1	500	-13	active ASO 1	#0909FF	1	4
01	01-ACTIVE1	K2	K	RML	active ASO 1	500	-13	active ASO 1	#0909FF	1	4
01	01-ACTIVE1	K3	K	RML	active ASO 1	500	-13	active ASO 1	#0909FF	1	4
01	01-ACTIVE1	K4	K	RML	active ASO 1	500	-13	active ASO 1	#0909FF	1	4
01	01-ACTIVE2	L1	L	RML	active ASO 2	500	-13	active ASO 2	#09C009	1	5
01	01-ACTIVE2	L2	L	RML	active ASO 2	500	-13	active ASO 2	#09C009	1	5
01	01-ACTIVE2	L3	L	RML	active ASO 2	500	-13	active ASO 2	#09C009	1	5
01	01-ACTIVE2	L4	L	RML	active ASO 2	500	-13	active ASO 2	#09C009	1	5
01	01-NBH	M1	M	uninfected	no treatment	0	NA	uninoculated	#AAAAAA	3	1
01	01-NBH	M2	M	uninfected	no treatment	0	NA	uninoculated	#AAAAAA	3	1
01	01-NBH	M3	M	uninfected	no treatment	0	NA	uninoculated	#AAAAAA	3	1
01	01-NBH	M4	M	uninfected	no treatment	0	NA	uninoculated	#AAAAAA	3	1
01	01-NBH	N1	N	uninfected	no treatment	0	NA	uninoculated	#AAAAAA	3	1
01	01-NBH	N2	N	uninfected	no treatment	0	NA	uninoculated	#AAAAAA	3	1
01	01-NBH	N3	N	uninfected	no treatment	0	NA	uninoculated	#AAAAAA	3	1
01	01-NBH	N4	N	uninfected	no treatment	0	NA	uninoculated	#AAAAAA	3	1
01	01-NBH	O1	O	uninfected	no treatment	0	NA	uninoculated	#AAAAAA	3	1
01	01-NBH	O2	O	uninfected	no treatment	0	NA	uninoculated	#AAAAAA	3	1
01	01-NBH	O3	O	uninfected	no treatment	0	NA	uninoculated	#AAAAAA	3	1
01	01-NBH	O4	O	uninfected	no treatment	0	NA	uninoculated	#AAAAAA	3	1
01	01-none	P1	P	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	P2	P	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	P3	P	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	P4	P	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	Q1	Q	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	Q2	Q	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	Q3	Q	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	Q4	Q	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	R1	R	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	R2	R	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	R3	R	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	R4	R	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-NBH	S1	S	uninfected	no treatment	0	NA	uninoculated	#AAAAAA	3	1
01	01-NBH	S2	S	uninfected	no treatment	0	NA	uninoculated	#AAAAAA	3	1
01	01-NBH	S3	S	uninfected	no treatment	0	NA	uninoculated	#AAAAAA	3	1
01	01-NBH	S4	S	uninfected	no treatment	0	NA	uninoculated	#AAAAAA	3	1
01	01-none	T1	T	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	T2	T	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	T3	T	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	T4	T	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	U1	U	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	U2	U	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	U3	U	RML	no treatment	0	NA	no treatment	#000000	1	2
01	01-none	U4	U	RML	no treatment	0	NA	no treatment	#000000	1	2
L	L-PBS	LA1	LA	RML	saline	0	120			NA	NA
L	L-PBS	LA2	LA	RML	saline	0	120			NA	NA
L	L-PBS	LA3	LA	RML	saline	0	120			NA	NA
L	L-PBS	LA4	LA	RML	saline	0	120			NA	NA
L	L-PBS	LB1	LB	RML	saline	0	120			NA	NA
L	L-CONTROL3	LB2	LB	RML	control ASO 3	500	120			NA	NA
L	L-CONTROL3	LB3	LB	RML	control ASO 3	500	120			NA	NA
L	L-PBS	LB4	LB	RML	saline	0	120			NA	NA
L	L-CONTROL3	LC1	LC	RML	control ASO 3	500	120			NA	NA
L	L-CONTROL3	LC2	LC	RML	control ASO 3	500	120			NA	NA
L	L-CONTROL3	LC3	LC	RML	control ASO 3	500	120			NA	NA
L	L-CONTROL3	LC4	LC	RML	control ASO 3	500	120			NA	NA
L	L-ACTIVE1	LD1	LD	RML	active ASO 1	500	120			NA	NA
L	L-ACTIVE1	LD2	LD	RML	active ASO 1	500	120			NA	NA
L	L-ACTIVE1	LD3	LD	RML	active ASO 1	500	120			NA	NA
L	L-ACTIVE1	LD4	LD	RML	active ASO 1	500	120			NA	NA
L	L-ACTIVE1	LE1	LE	RML	active ASO 1	500	120			NA	NA
L	L-ACTIVE1	LE2	LE	RML	active ASO 1	500	120			NA	NA
L	L-ACTIVE5	LE3	LE	RML	active ASO 5	500	121			NA	NA
L	L-ACTIVE5	LE4	LE	RML	active ASO 5	500	121			NA	NA
L	L-died	LF1	LF	RML	no treatment	NA	121			NA	NA
L	L-ACTIVE5	LF2	LF	RML	active ASO 5	500	121			NA	NA
L	L-ACTIVE5	LF3	LF	RML	active ASO 5	500	121			NA	NA
L	L-ACTIVE5	LF4	LF	RML	active ASO 5	500	121			NA	NA
L	L-ACTIVE8	LG1	LG	RML	active ASO 8	500	121			NA	NA
L	L-ACTIVE8	LG2	LG	RML	active ASO 8	500	121			NA	NA
L	L-ACTIVE8	LG3	LG	RML	active ASO 8	500	121			NA	NA
L	L-ACTIVE8	LG4	LG	RML	active ASO 8	500	121			NA	NA
L	L-ACTIVE8	LH1	LH	RML	active ASO 8	500	121			NA	NA
L	L-ACTIVE8	LH2	LH	RML	active ASO 8	500	121			NA	NA
L	L-CONTROL4	LH3	LH	RML	control ASO 4	500	121			NA	NA
L	L-CONTROL4	LH4	LH	RML	control ASO 4	500	121			NA	NA
L	L-CONTROL4	LI1	LI	RML	control ASO 4	500	121			NA	NA
L	L-CONTROL4	LI2	LI	RML	control ASO 4	500	121			NA	NA
L	L-CONTROL4	LI3	LI	RML	control ASO 4	500	121			NA	NA
L	L-CONTROL4	LI4	LI	RML	control ASO 4	500	121			NA	NA
L	L-ACTIVE6	LJ1	LJ	RML	active ASO 6	500	121			NA	NA
L	L-ACTIVE6	LJ2	LJ	RML	active ASO 6	500	121			NA	NA
L	L-ACTIVE6	LJ3	LJ	RML	active ASO 6	500	121			NA	NA
L	L-ACTIVE6	LJ4	LJ	RML	active ASO 6	500	121			NA	NA
L	L-ACTIVE6	LK1	LK	RML	active ASO 6	500	121			NA	NA
L	L-ACTIVE6	LK2	LK	RML	active ASO 6	500	121			NA	NA
L	L-ACTIVE7	LK3	LK	RML	active ASO 7	500	122			NA	NA
L	L-ACTIVE7	LK4	LK	RML	active ASO 7	500	122			NA	NA
L	L-ACTIVE7	LL1	LL	RML	active ASO 7	500	122			NA	NA
L	L-ACTIVE7	LL2	LL	RML	active ASO 7	500	122			NA	NA
L	L-ACTIVE7	LL3	LL	RML	active ASO 7	500	122			NA	NA
L	L-ACTIVE7	LL4	LL	RML	active ASO 7	500	122			NA	NA
V	V-120-PBS	VA1	VA	RML	saline	0	120	saline	#7C7C7C	1	120
V	V-120-PBS	VA2	VA	RML	saline	0	120	saline	#7C7C7C	1	120
V	V-120-PBS	VA3	VA	RML	saline	0	120	saline	#7C7C7C	1	120
V	V-120-PBS	VA4	VA	RML	saline	0	120	saline	#7C7C7C	1	120
V	V-120-PBS	VB1	VB	RML	saline	0	120	saline	#7C7C7C	1	120
V	V-120-PBS	VB2	VB	RML	saline	0	120	saline	#7C7C7C	1	120
V	V-120-PBS	VB3	VB	RML	saline	0	120	saline	#7C7C7C	1	120
V	V-120-PBS	VB4	VB	RML	saline	0	120	saline	#7C7C7C	1	120
V	V-120-PBS	VC1	VC	RML	saline	0	120	saline	#7C7C7C	1	120
V	V-120-PBS	VC2	VC	RML	saline	0	120	saline	#7C7C7C	1	120
V	V-120-PBS	VC3	VC	RML	saline	0	120	saline	#7C7C7C	1	120
V	V-120-PBS	VC4	VC	RML	saline	0	120	saline	#7C7C7C	1	120
V	V-120-ACTIVE6	VD1	VD	RML	active ASO 6	500	120	active ASO 6	#41B6C4	1	120
V	V-120-ACTIVE6	VD2	VD	RML	active ASO 6	500	120	active ASO 6	#41B6C4	1	120
V	V-120-ACTIVE6	VD3	VD	RML	active ASO 6	500	120	active ASO 6	#41B6C4	1	120
V	V-120-ACTIVE6	VD4	VD	RML	active ASO 6	500	120	active ASO 6	#41B6C4	1	120
V	V-120-ACTIVE6	VE1	VE	RML	active ASO 6	500	120	active ASO 6	#41B6C4	1	120
V	V-120-ACTIVE6	VE2	VE	RML	active ASO 6	500	120	active ASO 6	#41B6C4	1	120
V	V-120-ACTIVE6	VE3	VE	RML	active ASO 6	500	120	active ASO 6	#41B6C4	1	120
V	V-120-ACTIVE6	VE4	VE	RML	active ASO 6	500	120	active ASO 6	#41B6C4	1	120
