cage	dpi	edry	nslt	comb
TAC	296	0	0.5	0.25
TAE	296	0.5	0	0.25
TAG	296	0	0	0
TAI	296	0.5	0	0.25
TI	303	1.5	1.5	1.5
TK	303	1.5	1.5	1.5
TM	303	1	1	1
TO	303	1.5	1.5	1.5
TY	303	0	1	0.5
TAA	303	0.5	1	0.75
TAC	303	0.5	0.5	0.5
TAE	303	1	0.5	0.75
TAG	303	0.5	1	0.75
TAI	303	1	1	1
TI	310	0	0	0
TK	310	0	0	0
TM	310	0	0	0
TO	310	0.5	0.5	0.5
TY	310	0	0.5	0.25
TAA	310	0	1	0.5
TAC	310	0	0.5	0.25
TAE	310	0	0	0
TAG	310	0	0.5	0.25
TAI	310	0	0	0
TI	317	0	1	0.5
TK	317	1	1.5	1.25
TM	317	0	1	0.5
TO	317	1.5	1.5	1.5
TY	317	0	1	0.5
TAA	317	0	1	0.5
TAC	317	0	0.5	0.25
TAE	317	0.5	1	0.75
TAG	317	1	1	1
TAI	317	1.5	1	1.25
TI	324	0.5	1	0.75
TK	324	0	1.5	0.75
TM	324	0	0.5	0.25
TO	324	0.5	1	0.75
TY	324	0	0	0
TAA	324	0	0	0
TAC	324	0	0.5	0.25
TAE	324	0	0	0
TAG	324	0.5	1	0.75
TAI	324	0.5	0	0.25
TI	330	0.5	0.5	0.5
TK	330	0	1	0.5
TM	330	0	0.5	0.25
TO	330	0.5	1	0.75
TY	330	0.5	0.5	0.5
TAA	330	0	1	0.5
TAC	330	0	1	0.5
TAE	330	0	0.5	0.25
TAG	330	1	1	1
TAI	330	1	1	1
TI	338	0	0	0
TK	338	0.5	0	0.25
TM	338	0.5	0	0.25
TO	338	0	0.5	0.25
TY	338	0	0	0
TAA	338	1	0	0.5
TAC	338	0.5	0	0.25
TAE	338	0	0	0
TAG	338	0.5	0	0.25
TAI	338	0.5	1	0.75
TI	352	0	0	0
TK	352	0	0	0
TM	352	0	0	0
TO	352	0.5	0	0.25
TY	352	0	0	0
TAA	352	0.5	0	0.25
TAC	352	0.5	0.5	0.5
TAE	352	0	0	0
TAG	352	0.5	0	0.25
TAI	352	0	0	0
TI	359	1	0	0.5
TK	359	0.5	0.5	0.5
TM	359	0.5	1	0.75
TO	359	0.5	0.5	0.5
TY	359	0	0	0
TAA	359	0.5	0.5	0.5
TAC	359	0.5	0.5	0.5
TAE	359	0.5	0	0.25
TAG	359	1	0	0.5
TAI	359	0.5	0.5	0.5
TI	366	0	0	0
TK	366	0.5	0	0.25
TM	366	0.5	0.5	0.5
TO	366	0	0	0
TY	366	0	0	0
TAA	366	0	1	0.5
TAC	366	0	0.5	0.25
TAE	366	0	0	0
TAG	366	0	0.5	0.25
TAI	366	0	0.5	0.25
TI	373	0	0.5	0.25
TK	373	0.5	1	0.75
TM	373	0.5	1	0.75
TO	373	0.5	0.5	0.5
TY	373	0.5	0.5	0.5
TAA	373	0.5	0.5	0.5
TAC	373	0.5	0.5	0.5
TAE	373	0	0.5	0.25
TAG	373	0.5	0.5	0.5
TAI	373	0.5	0.5	0.5
TI	380	0	0.5	0.25
TK	380	0	0	0
TM	380	0.5	0.5	0.5
TO	380	0.5	1	0.75
TY	380	0.5	0	0.25
TAA	380	0.5	0.5	0.5
TAC	380	0	0	0
TAE	380	0	0	0
TAG	380	0.5	0.5	0.5
TAI	380	0	1	0.5
TI	387	0	0.5	0.25
TK	387	0.5	0.5	0.5
TM	387	1	1	1
TO	387	0.5	1	0.75
TAA	387	0.5	0.5	0.5
TAC	387	0	0.5	0.25
TAE	387	0.5	0.5	0.5
TAG	387	0.5	0.5	0.5
TAI	387	0	1	0.5
TI	394	0	0	0
TK	394	0	0.5	0.25
TM	394	0.5	0.5	0.5
TO	394	0	0.5	0.25
TAA	394	0	0.5	0.25
TAC	394	0	0	0
TAE	394	0	0	0
TAG	394	0	0.5	0.25
TAI	394	0	0	0
TI	401	0	0	0
TK	401	0	0.5	0.25
TM	401	0.5	0.5	0.5
TO	401	0	0.5	0.25
TAA	401	0	0.5	0.25
TAC	401	0	0.5	0.25
TAE	401	0	0.5	0.25
TAG	401	0	0.5	0.25
TAI	401	0	0	0
TI	408	0	0	0
TK	408	0	0.5	0.25
TM	408	0.5	0.5	0.5
TO	408	0	0.5	0.25
TAA	408	0	0.5	0.25
TAC	408	0	0	0
TAE	408	0	0.5	0.25
TAG	408	0	1	0.5
TAI	408	0	0.5	0.25
TI	415	0	0	0
TK	415	0	0.5	0.25
TM	415	0	0.5	0.25
TO	415	0	0.5	0.25
TAA	415	0	0.5	0.25
TAC	415	0	0.5	0.25
TAE	415	0	0.5	0.25
TAG	415	0	0.5	0.25
TAI	415	0	0.5	0.25
TI	422	0	0	0
TK	422	0	0.5	0.25
TM	422	0	0.5	0.25
TO	422	0	0.5	0.25
TAA	422	0	0.5	0.25
TAC	422	0	0.5	0.25
TAE	422	0	0.5	0.25
TI	429	0	0	0
TK	429	0	0.5	0.25
TM	429	0	0.5	0.25
TO	429	0	0.5	0.25
TAA	429	0	0.5	0.25
TAC	429	0	0	0
TAE	429	0	5	2.5
TAG	429	0	0.5	0.25
TAI	429	0	0.5	0.25
TI	436	0	0	0
TK	436	0	0	0
TM	436	0	0.5	0.25
TO	436	0	0	0
TAA	436	0	0.5	0.25
TAE	436	0	0	0
TAG	436	0	0	0
TAI	436	0	0	0
TI	443	0	0	0
TM	443	0.5	0.5	0.5
TO	443	0	0.5	0.25
TAA	443	0	0.5	0.25
TAE	443	0	0.5	0.25
TAG	443	0	0.5	0.25
TAI	443	0	0.5	0.25
TM	450	0	0.5	0.25
TO	450	0	0.5	0.25
TAA	450	0	0	0
TAE	450	0	0.5	0.25
TAG	450	0	0.5	0.25
TAI	450	0	0.5	0.25
TM	457	0	0.5	0.25
TO	457	0	0.5	0.25
TAE	457	0	0.5	0.25
TAG	457	0	0.5	0.25
TAI	457	0	0.5	0.25
TM	464	0	0	0
TO	464	0	0.5	0.25
TAE	464	0	0	0
TAG	464	0	0.5	0.25
TAI	464	0	0.5	0.25
TM	471	0	0	0
TO	471	0	0.5	0.25
TAG	471	0.5	0.5	0.5
TAI	471	0	0.5	0.25
TO	478	0	0	0
TAG	478	0	0	0
TAI	478	0	0	0
TAI	485	0	0	0
TAI	492	0	0	0
SAY	122	0	2	1
SBY	122	2	2	2
SCY	122	0	2	1
SDY	122	2	2	2
SEY	122	2	2	2
SFY	122	2	2	2
SGY	122	1	2	1.5
SHY	122	2	2	2
SIY	122	0	1	0.5
SJY	122	2	2	2
SAZ	120	2	2	2
SBZ	120	2	2	2
SCZ	120	2	2	2
SDZ	120	1	2	1.5
SEZ	120	2	2	2
SFZ	120	2	2	2
SGZ	120	1	1	1
SHZ	120	2	2	2
SIZ	120	1	1	1
SJZ	120	2	2	2
SAY	129	0.5	0.5	0.5
SBY	129	2	2	2
SCY	129	0	0	0
SDY	129	2	2	2
SEY	129	2	2	2
SFY	129	2	2	2
SGY	129	2	2	2
SHY	129	2	2	2
SIY	129	0.5	0.5	0.5
SJY	129	2	2	2
SAZ	127	1.5	1.5	1.5
SBZ	127	2	2	2
SCZ	127	2	2	2
SDZ	127	2	2	2
SEZ	127	2	2	2
SFZ	127	2	2	2
SGZ	127	2	2	2
SHZ	127	2	2	2
SIZ	127	2	2	2
SJZ	127	2	2	2
SAY	137	0	0	0
SBY	137	2	2	2
SCY	137	0	0	0
SDY	137	2	2	2
SEY	137	2	2	2
SFY	137	2	2	2
SGY	137	0.5	0.5	0.5
SHY	137	2	2	2
SIY	137	0	0	0
SJY	137	2	2	2
SAZ	135	0	0	0
SBZ	135	2	2	2
SCZ	135	2	2	2
SDZ	135	2	2	2
SEZ	135	0	0	0
SFZ	135	2	2	2
SGZ	135	0	0	0
SHZ	135	2	2	2
SIZ	135	0	0	0
SJZ	135	1.5	2	1.75
SAY	144	0	0	0
SBY	144	2	2	2
SCY	144	0	0	0
SDY	144	2	2	2
SEY	144	2	2	2
SFY	144	2	2	2
SGY	144	0.5	0.5	0.5
SHY	144	2	2	2
SIY	144	0	0	0
SJY	144	2	2	2
SAZ	142	0	0	0
SBZ	142	2	2	2
SCZ	142	2	2	2
SDZ	142	2	2	2
SEZ	142	0	0	0
SFZ	142	2	2	2
SGZ	142	0	0	0
SHZ	142	2	2	2
SIZ	142	1	1	1
SJZ	142	2	2	2
SAY	151	0	0	0
SBY	151	2	2	2
SCY	151	0	0	0
SDY	151	2	2	2
SEY	151	1.5	2	1.75
SFY	151	0	0.5	0.25
SGY	151	0	0	0
SHY	151	2	2	2
SIY	151	0	0.5	0.25
SJY	151	2	2	2
SAZ	149	0	0	0
SBZ	149	1.5	1.5	1.5
SCZ	149	0	0.5	0.25
SDZ	149	1.5	2	1.75
SEZ	149	0	0.5	0.25
SFZ	149	2	2	2
SGZ	149	0	0	0
SHZ	149	2	2	2
SIZ	149	0	0	0
SJZ	149	1.5	1.5	1.5
SAY	158	0	0	0
SBY	158	2	2	2
SCY	158	0	0	0
SDY	158	2	2	2
SEY	158	2	2	2
SFY	158	0.5	0.5	0.5
SGY	158	0.5	0	0.25
SHY	158	2	2	2
SJY	158	2	2	2
SBZ	156	2	2	2
SCZ	156	0	0	0
SDZ	156	1.5	2	1.75
SEZ	156	0	0.5	0.25
SFZ	156	2	2	2
SGZ	156	0	0	0
SHZ	156	2	2	2
SIZ	156	0	0	0
SJZ	156	2	2	2
SBY	165	2	2	2
SDY	165	2	2	2
SEY	165	0.5	0.5	0.5
SFY	165	0	0	0
SHY	165	1	1	1
SJY	165	2	2	2
SBZ	163	1.5	1.5	1.5
SCZ	163	0	0	0
SDZ	163	1	1	1
SFZ	163	1.5	1.5	1.5
SGZ	163	0	0	0
SHZ	163	2	2	2
SJZ	163	1	2	1.5
SBY	172	2	2	2
SDY	172	2	2	2
SEY	172	1.5	2	1.75
SFY	172	0	0.5	0.25
SHY	172	1.5	2	1.75
SJY	172	2	2	2
SBZ	170	2	2	2
SCZ	170	0	0	0
SDZ	170	2	2	2
SFZ	170	2	2	2
SHZ	170	2	2	2
SJZ	170	2	2	2
SBY	179	0.5	0.5	0.5
SDY	179	1	1	1
SEY	179	0	0	0
SFY	179	0	0	0
SHY	179	0	0.5	0.25
SJY	179	1	1	1
SBZ	177	0	1	0.5
SCZ	177	0	0	0
SDZ	177	1	1	1
SFZ	177	1	1.5	1.25
SHZ	177	2	2	2
SJZ	177	0	0.5	0.25
SBY	186	1	1	1
SDY	186	1.5	1.5	1.5
SEY	186	0	0	0
SFY	186	0	0	0
SHY	186	0	1	0.5
SJY	186	2	2	2
SBZ	184	0	0.5	0.25
SDZ	184	1	1	1
SFZ	184	1.5	2	1.75
SHZ	184	2	2	2
SJZ	184	0.5	0.5	0.5
SBY	193	0	0	0
SDY	193	0	0	0
SEY	193	0	0	0
SFY	193	0	0	0
SHY	193	0	0	0
SJY	193	0.5	0.5	0.5
SBZ	191	0	0	0
SDZ	191	0	0.5	0.25
SFZ	191	2	2	2
SHZ	191	2	2	2
SJZ	191	0.5	0.5	0.5
SBY	200	0	1	0.5
SDY	200	0	0.5	0.25
SEY	200	0	0	0
SFY	200	0	0.5	0.25
SHY	200	1	1	1
SJY	200	1	1	1
SBZ	198	0	0	0
SDZ	198	0	1	0.5
SFZ	198	2	2	2
SHZ	198	2	2	2
SJZ	198	0.5	1	0.75
SBY	207	0	0	0
SDY	207	0	0	0
SHY	207	0	0	0
SJY	207	0.5	0	0.25
SDZ	205	0	1	0.5
SFZ	205	0	0.5	0.25
SHZ	205	1.5	2	1.75
SJZ	205	0	0.5	0.25
SDZ	212	0	1	0.5
SFZ	212	1	1.5	1.25
SHZ	212	2	2	2
SJZ	212	0	0.5	0.25
SHZ	219	1.5	2	1.75
SHZ	226	2	2	2
SHZ	233	2	2	2
SHZ	240	2	2	2
SHZ	247	2	2	2
SHZ	254	2	2	2
SHZ	261	1	2	1.5
SHZ	268	2	2	2
SHZ	275	2	2	2
SHZ	282	2	2	2
SHZ	289	2	2	2
SHZ	296	2	2	2
SHZ	310	2	2	2
RA	91	2	2	2
RB	91	2	2	2
RC	91	2	2	2
RD	91	2	2	2
RA	98	2	2	2
RB	98	2	2	2
RC	98	2	2	2
RD	98	2	2	2
RA	112	2	2	2
RB	112	2	2	2
RC	112	2	2	2
RD	112	2	2	2
RA	119	0	1	0.5
RB	119	1.5	2	1.75
RC	119	1	2	1.5
RD	119	2	2	2
RA	126	0	0.5	0.25
RB	126	2	2	2
RC	126	1.5	1.5	1.5
RD	126	2	2	2
RA	133	0	0	0
RB	133	2	2	2
RC	133	0	1	0.5
RD	133	2	2	2
RA	140	0	1	0.5
RB	140	2	2	2
RC	140	0	1	0.5
RD	140	2	2	2
RA	147	0	0.5	0.25
RB	147	2	2	2
RC	147	0	0	0
RD	147	2	2	2
RA	154	0	1	0.5
RB	154	2	2	2
RC	154	0	0.5	0.25
RD	154	2	2	2
RA	161	0	0.5	0.25
RB	161	2	2	2
RC	161	0	1	0.5
RD	161	2	2	2
RB	167	2	2	2
RD	167	2	2	2
RB	175	1.5	2	1.75
RD	175	2	2	2
RB	189	1	2	1.5
RD	189	2	2	2
RB	196	2	2	2
RD	196	2	2	2
RB	203	0.5	2	1.25
RD	203	0.5	1	0.75
RB	210	1.5	2	1.75
RD	210	2	2	2
RB	217	0.5	0.5	0.5
RD	217	0.5	0.5	0.5
RB	224	0.5	0.5	0.5
RD	224	1.5	1	1.25
RB	231	0.5	0.5	0.5
RD	231	0	0.5	0.25
RB	238	0.5	0.5	0.5
RD	238	0	0.5	0.25
RB	245	0	0.5	0.25
RD	245	0	0	0
RB	252	0	0.5	0.25
RD	252	0	0	0
RB	259	0	0.5	0.25
RD	259	0	0.5	0.25
RB	266	0.5	0.5	0.5
RD	266	0	0.5	0.25
RB	273	0	0	0
RD	273	0	0	0
RB	280	0	0.5	0.25
RD	280	0	0	0
RB	287	0	0	0
RD	287	0	0	0
RB	294	0	0	0
RD	294	0	0	0
RB	301	0	0	0
QA	92	2	2	2
QB	92	2	2	2
QC	92	2	2	2
QD	92	2	2	2
QA	99	2	2	2
QB	99	2	2	2
QC	99	2	2	2
QD	99	2	2	2
QA	113	2	2	2
QB	113	2	2	2
QC	113	2	2	2
QD	113	2	2	2
QA	127	2	2	2
QB	127	2	2	2
QC	127	2	2	2
QD	127	2	2	2
QA	134	0.5	0.5	0.5
QB	134	1	1	1
QC	134	2	2	2
QD	134	2	2	2
QA	141	1	1.5	1.25
QB	141	2	2	2
QC	141	2	2	2
QD	141	2	2	2
QA	148	0.5	0.5	0.5
QB	148	0.5	1	0.75
QC	148	2	2	2
QD	148	2	2	2
QA	155	1	1	1
QB	155	1.5	1.5	1.5
QC	155	2	2	2
QD	155	2	2	2
QA	162	0	0	0
QB	162	0	1	0.5
QC	162	2	2	2
QD	162	2	2	2
QB	169	0.5	0.5	0.5
QC	169	2	2	2
QD	169	2	2	2
QB	176	0	0	0
QC	176	2	2	2
QD	176	2	2	2
QB	183	0	0	0
QC	183	2	2	2
QD	183	2	2	2
QC	190	1.5	1.5	1.5
QD	190	2	2	2
QC	197	1.5	1.5	1.5
QD	197	2	2	2
QC	204	0	0.5	0.25
QD	204	0.5	1	0.75
QC	211	0.5	0.5	0.5
QD	211	1.5	1.5	1.5
QC	218	0.5	0.5	0.5
QD	218	0	0.5	0.25
QC	225	0.5	0.5	0.5
QD	225	0.5	0.5	0.5
QC	232	0	0	0
QD	232	0	0	0
QC	239	0	0.5	0.25
QD	239	0.5	0.5	0.5
QC	246	0	0	0
QD	246	0	0	0
QD	253	0	0	0
QD	260	0	0	0
QD	267	0	0	0
QD	274	0	0	0
MA	93	2	2	2
MB	93	2	2	2
MC	93	2	2	2
MD	93	2	2	2
ME	93	2	2	2
MF	93	2	2	2
MG	93	2	2	2
MH	93	2	2	2
MI	93	2	2	2
MJ	93	2	2	2
MA	100	2	2	2
MB	100	2	2	2
MC	100	2	2	2
MD	100	2	2	2
ME	100	2	2	2
MF	100	2	2	2
MG	100	2	2	2
MH	100	2	2	2
MI	100	2	2	2
MJ	100	2	2	2
MA	107	0.5	0.5	0.5
MB	107	2	2	2
MC	107	2	2	2
MD	107	2	2	2
ME	107	2	2	2
MF	107	2	2	2
MG	107	2	2	2
MH	107	2	2	2
MI	107	0.5	0.5	0.5
MJ	107	2	2	2
MA	114	1	1	1
MB	114	2	2	2
MC	114	2	2	2
MD	114	2	2	2
ME	114	2	2	2
MF	114	2	2	2
MG	114	2	2	2
MH	114	2	2	2
MI	114	0.5	0.5	0.5
MJ	114	2	2	2
MA	121	0	0.5	0.25
MB	121	2	2	2
MC	121	2	2	2
MD	121	2	2	2
ME	121	2	2	2
MF	121	1	1.5	1.25
MG	121	2	2	2
MH	121	2	2	2
MI	121	0	1	0.5
MJ	121	2	2	2
MA	128	0	0.5	0.25
MB	128	2	2	2
MC	128	2	2	2
MD	128	2	2	2
ME	128	2	2	2
MF	128	2	2	2
MG	128	2	2	2
MH	128	2	2	2
MI	128	1.5	1.5	1.5
MJ	128	2	2	2
MA	135	0	0	0
MB	135	0.5	0.5	0.5
MC	135	2	2	2
MD	135	2	2	2
ME	135	0	0.5	0.25
MF	135	0	0	0
MG	135	2	2	2
MH	135	2	2	2
MI	135	0	0.5	0.25
MJ	135	2	2	2
MA	142	0	0	0
MB	142	1.5	1.5	1.5
MC	142	2	2	2
MD	142	2	2	2
ME	142	0	0.5	0.25
MF	142	0	0	0
MG	142	2	2	2
MH	142	2	2	2
MI	142	0	0.5	0.25
MJ	142	2	2	2
MA	149	0	0.5	0.25
MB	149	0	0.5	0.25
MC	149	2	2	2
MD	149	2	2	2
ME	149	0	1	0.5
MF	149	0	0	0
MG	149	2	2	2
MH	149	2	2	2
MI	149	0	0	0
MJ	149	2	2	2
MA	156	0	1	0.5
MB	156	0	0.5	0.25
MC	156	2	2	2
MD	156	2	2	2
MF	156	0	0.5	0.25
MG	156	2	2	2
MH	156	2	2	2
MI	156	0	1	0.5
MJ	156	2	2	2
MC	163	2	2	2
MD	163	2	2	2
MG	163	2	2	2
MH	163	2	2	2
MI	163	0	0	0
MJ	163	2	2	2
MC	170	2	2	2
MD	170	2	2	2
MG	170	2	2	2
MH	170	2	2	2
MJ	170	2	2	2
MC	177	2	2	2
MD	177	2	2	2
MG	177	2	2	2
MH	177	2	2	2
MJ	177	2	2	2
MC	184	2	2	2
MD	184	2	2	2
MG	184	2	2	2
MH	184	2	2	2
MJ	184	2	2	2
MC	191	2	2	2
MD	191	2	2	2
MG	191	2	2	2
MH	191	2	2	2
MJ	191	2	2	2
MC	198	2	2	2
MD	198	2	2	2
MG	198	2	2	2
MH	198	2	2	2
MJ	198	2	2	2
MC	205	2	2	2
MD	205	2	2	2
MG	205	2	2	2
MH	205	2	2	2
MJ	205	2	2	2
MC	212	1.5	1.5	1.5
MD	212	0.5	1	0.75
MG	212	1.5	2	1.75
MH	212	1.5	2	1.75
MJ	212	2	2	2
MC	219	2	2	2
MD	219	1.5	1.5	1.5
MG	219	2	2	2
MH	219	2	2	2
MJ	219	2	2	2
MC	226	1.5	2	1.75
MD	226	1.5	2	1.75
MG	226	1.5	2	1.75
MH	226	1.5	2	1.75
MJ	226	1.5	2	1.75
MC	233	1.5	1.5	1.5
MD	233	0.5	0	0.25
MG	233	1.5	2	1.75
MH	233	2	2	2
MJ	233	2	2	2
MC	240	0.5	0	0.25
MD	240	0	0	0
MG	240	0	0.5	0.25
MH	240	0	0	0
MJ	240	0.5	1	0.75
MC	247	0.5	0	0.25
MD	247	0	0	0
MG	247	0	0.5	0.25
MH	247	0	0	0
MJ	247	1	1	1
MC	261	0	0.5	0.25
MD	261	0	0.5	0.25
MG	261	0	0.5	0.25
MH	261	0	0.5	0.25
MJ	261	0	0.5	0.25
MC	268	0	0.5	0.25
MD	268	0	0	0
MG	268	0	0	0
MH	268	0	0	0
MJ	268	0	0	0
MC	275	0	0.5	0.25
MD	275	0	0	0
MG	275	0	0.5	0.25
MH	275	0	0.5	0.25
MJ	275	0	0.5	0.25
MC	282	0	0.5	0.25
MG	282	0	0.5	0.25
MH	282	0	0	0
MJ	282	0	0	0
MC	289	0	0.5	0.25
MG	289	0	0.5	0.25
MH	289	0	0.5	0.25
MJ	289	0	0.5	0.25
MC	296	0	0	0
MG	296	0	0	0
MJ	296	0	0	0
MC	303	0	1	0.5
MG	303	0	1	0.5
MC	310	0	0	0
MG	310	0	0	0
MG	316	0	0	0
GA	105	1.5	1.5	1.5
GB	105	2	2	2
GC	105	2	2	2
GD	105	2	2	2
GE	105	1.5	2	1.75
GF	105	2	2	2
GG	105	2	2	2
GH	105	2	2	2
GI	105	2	2	2
GJ	105	2	2	2
GK	105	2	2	2
GL	105	2	1.5	1.75
GM	105	2	2	2
GN	105	2	2	2
GO	105	2	2	2
GP	105	1	2	1.5
GQ	105	2	2	2
GR	105	2	2	2
GS	105	2	2	2
GT	105	2	2	2
GU	105	2	2	2
GA	112	1.5	2	1.75
GB	112	2	2	2
GC	112	2	2	2
GD	112	2	2	2
GE	112	0.5	1	0.75
GF	112	1.5	2	1.75
GG	112	2	2	2
GH	112	2	2	2
GI	112	2	2	2
GJ	112	2	2	2
GK	112	2	2	2
GL	112	0.5	1	0.75
GM	112	0.5	0.5	0.5
GN	112	0.5	0.5	0.5
GO	112	2	2	2
GP	112	2	2	2
GQ	112	0.5	0.5	0.5
GR	112	0	0.5	0.25
GS	112	2	2	2
GT	112	2	2	2
GU	112	2	2	2
GA	119	2	2	2
GB	119	2	2	2
GC	119	2	2	2
GD	119	2	2	2
GE	119	2	2	2
GF	119	2	2	2
GG	119	2	2	2
GH	119	2	2	2
GI	119	2	2	2
GJ	119	2	2	2
GK	119	2	2	2
GL	119	1.5	1.5	1.5
GM	119	1	1	1
GN	119	1	1.5	1.25
GO	119	2	2	2
GP	119	2	2	2
GQ	119	1.5	1.5	1.5
GR	119	0.5	0.5	0.5
GS	119	2	2	2
GT	119	2	2	2
GU	119	2	2	2
GA	126	1.5	2	1.75
GB	126	2	2	2
GC	126	2	2	2
GD	126	2	2	2
GE	126	0.5	2	1.25
GF	126	1	2	1.5
GG	126	1.5	2	1.75
GH	126	2	2	2
GI	126	2	2	2
GJ	126	2	2	2
GK	126	2	2	2
GL	126	0	0.5	0.25
GM	126	0	0	0
GN	126	0	1	0.5
GO	126	1.5	2	1.75
GP	126	0	0	0
GQ	126	0	0	0
GR	126	0	0	0
GS	126	1	1	1
GT	126	1	1	1
GU	126	1.5	1.5	1.5
GA	133	2	2	2
GB	133	2	2	2
GC	133	2	2	2
GD	133	2	2	2
GE	133	2	2	2
GF	133	1.5	2	1.75
GG	133	2	2	2
GH	133	2	2	2
GI	133	2	2	2
GJ	133	2	2	2
GK	133	2	2	2
GL	133	0	0.5	0.25
GM	133	0	0	0
GN	133	1	2	1.5
GO	133	2	2	2
GP	133	0	0.5	0.25
GQ	133	0	0.5	0.25
GR	133	0	0	0
GS	133	0.5	0.5	0.5
GT	133	1	1	1
GU	133	1.5	1.5	1.5
GA	140	1	2	1.5
GB	140	2	2	2
GC	140	2	2	2
GD	140	2	2	2
GE	140	1.5	2	1.75
GF	140	1.5	2	1.75
GG	140	2	2	2
GH	140	2	2	2
GI	140	1.5	2	1.75
GJ	140	2	2	2
GK	140	2	2	2
GL	140	0	0	0
GM	140	0	0	0
GN	140	0	1	0.5
GO	140	0	1	0.5
GP	140	0	0	0
GQ	140	0	0	0
GR	140	0	0	0
GS	140	0	0	0
GT	140	0	0	0
GU	140	0	0	0
GA	147	1.5	2	1.75
GB	147	2	2	2
GC	147	2	2	2
GD	147	2	2	2
GE	147	1.5	2	1.75
GF	147	2	2	2
GG	147	2	2	2
GH	147	2	2	2
GI	147	2	2	2
GJ	147	2	2	2
GK	147	2	2	2
GL	147	0	0.5	0.25
GM	147	0	0	0
GN	147	0	1	0.5
GO	147	0.5	0.5	0.5
GQ	147	0	0	0
GR	147	0	0	0
GS	147	0	0.5	0.25
GU	147	0	0.5	0.25
GA	154	1	1.5	1.25
GB	154	1.5	1.5	1.5
GC	154	2	2	2
GD	154	2	2	2
GE	154	1.5	1.5	1.5
GF	154	1.5	2	1.75
GG	154	1.5	2	1.75
GH	154	2	2	2
GI	154	1.5	2	1.75
GJ	154	1.5	2	1.75
GK	154	1.5	2	1.75
GL	154	0	0	0
GM	154	0	0	0
GN	154	0	0	0
GO	154	0	0	0
GQ	154	0	0	0
GR	154	0	0	0
GS	154	0	0	0
GU	154	0	0	0
GA	161	1	2	1.5
GB	161	2	2	2
GC	161	2	2	2
GD	161	2	2	2
GE	161	1.5	2	1.75
GF	161	2	2	2
GG	161	2	2	2
GH	161	2	2	2
GI	161	2	2	2
GJ	161	2	2	2
GK	161	2	2	2
GN	161	0	0	0
GO	161	0	0	0
GU	161	0	0	0
GA	168	1.5	2	1.75
GB	168	2	2	2
GC	168	2	2	2
GD	168	2	2	2
GE	168	2	2	2
GF	168	2	2	2
GG	168	2	2	2
GH	168	2	2	2
GI	168	1.5	2	1.75
GJ	168	1.5	1.5	1.5
GK	168	2	2	2
GN	168	0	0	0
GO	168	0	0	0
GA	175	2	2	2
GB	175	2	2	2
GC	175	2	2	2
GD	175	2	2	2
GE	175	2	2	2
GF	175	2	2	2
GG	175	2	2	2
GH	175	2	2	2
GI	175	2	2	2
GJ	175	2	2	2
GK	175	2	2	2
GA	182	0.5	2	1.25
GB	182	2	2	2
GC	182	2	2	2
GD	182	2	2	2
GE	182	1	2	1.5
GF	182	0.5	2	1.25
GG	182	1.5	2	1.75
GH	182	2	2	2
GI	182	0.5	0.5	0.5
GJ	182	0.5	0.5	0.5
GK	182	0.5	1.5	1
GA	189	1.5	2	1.75
GB	189	2	2	2
GC	189	2	2	2
GD	189	1.5	2	1.75
GE	189	1.5	2	1.75
GF	189	2	2	2
GG	189	2	2	2
GH	189	2	2	2
GI	189	2	2	2
GJ	189	1	1	1
GK	189	1.5	1.5	1.5
GA	196	0	1	0.5
GB	196	1.5	1.5	1.5
GC	196	1.5	2	1.75
GD	196	1	2	1.5
GE	196	0	1.5	0.75
GF	196	0.5	1.5	1
GG	196	1.5	1	1.25
GH	196	0.5	0.5	0.5
GI	196	0	0.5	0.25
GJ	196	0	0.5	0.25
GK	196	0	0.5	0.25
GA	210	0.5	1	0.75
GB	210	0.5	1	0.75
GC	210	0.5	0.5	0.5
GD	210	0	0.5	0.25
GE	210	0	1.5	0.75
GF	210	0.5	0.5	0.5
GG	210	1	1	1
GH	210	0	0	0
GI	210	0	0.5	0.25
GJ	210	0	0.5	0.25
GK	210	0	0	0
GA	217	0.5	1	0.75
GB	217	1.5	1.5	1.5
GC	217	1	1.5	1.25
GD	217	0	1	0.5
GE	217	1	1	1
GF	217	0	1	0.5
GG	217	2	2	2
GH	217	0	0.5	0.25
GI	217	0.5	0.5	0.5
GJ	217	0	1	0.5
GK	217	1.5	1.5	1.5
GA	224	0	0.5	0.25
GB	224	0	0	0
GC	224	0.5	0	0.25
GD	224	0	0.5	0.25
GE	224	0	1	0.5
GF	224	0	0.5	0.25
GG	224	0.5	1	0.75
GH	224	0	1	0.5
GI	224	0	0.5	0.25
GJ	224	0.5	0.5	0.5
GK	224	0	0.5	0.25
GA	231	1.5	1.5	1.5
GB	231	1	1	1
GC	231	0.5	1	0.75
GD	231	0	0.5	0.25
GE	231	0	1	0.5
GF	231	0.5	0.5	0.5
GG	231	1.5	1.5	1.5
GH	231	0	1	0.5
GI	231	0	1	0.5
GJ	231	0.5	0.5	0.5
GK	231	0	1	0.5
GA	245	2	2	2
GB	245	0.5	0.5	0.5
GC	245	0.5	1	0.75
GD	245	0	1	0.5
GE	245	0	1	0.5
GF	245	0.5	0.5	0.5
GG	245	1	1	1
GH	245	0	1	0.5
GI	245	0	0.5	0.25
GJ	245	0	0	0
