cage	dpi	edry	nslt	comb
ZG	217	0	0	0
ZH	217	0	0	0
ZK	217	0	0.5	0.25
ZL	217	0	0	0
ZO	214	0	1	0.5
ZP	214	1.5	1.5	1.5
ZS	212	0.5	0	0.25
ZC	227	0	0.5	0.25
ZD	227	0	0.5	0.25
ZG	224	0	0.5	0.25
ZH	224	0	0.5	0.25
ZK	224	0	0.5	0.25
ZL	224	0	0.5	0.25
ZO	221	0	1	0.5
ZP	221	2	2	2
ZS	219	0.5	0.5	0.5
ZC	234	0	0	0
ZD	234	0.5	0	0.25
ZG	231	0	0.5	0.25
ZK	231	0	0	0
ZL	231	0	0	0
ZO	228	0	2	1
ZP	228	0.5	1.5	1
ZS	226	0	0.5	0.25
ZC	241	0	0	0
ZD	241	0	0.5	0.25
ZG	238	0	0.5	0.25
ZK	238	0	1	0.5
ZL	238	0	0.5	0.25
ZO	235	0	2	1
ZP	235	1	1.5	1.25
ZS	233	0	0.5	0.25
ZC	248	0	0	0
ZD	248	0.5	0	0.25
ZG	245	0	0.5	0.25
ZK	245	0	0.5	0.25
ZL	245	0	0.5	0.25
ZP	242	0	0	0
ZS	240	0	0.5	0.25
ZC	255	0	1	0.5
ZD	255	1	0.5	0.75
ZG	252	0	1	0.5
ZK	252	0	0.5	0.25
ZL	252	0	0.5	0.25
ZP	249	0	0.5	0.25
ZS	247	0	0.5	0.25
ZC	262	0	0	0
ZD	262	0	0	0
ZG	259	0	0	0
ZK	259	0	0	0
ZL	259	0	0	0
ZP	256	0	0	0
ZS	254	0	0	0
ZP	263	0	0	0
VA	99	2	2	2
VB	99	2	2	2
VC	99	2	2	2
VD	99	2	2	2
VE	99	2	2	2
VF	99	2	2	2
VG	99	2	2	2
VH	99	2	2	2
VI	99	2	2	2
VJ	99	2	2	2
VK	99	2	2	2
VL	99	2	2	2
VM	99	2	2	2
VN	99	2	2	2
VO	99	2	2	2
VP	99	2	2	2
VQ	99	2	2	2
VR	99	2	2	2
VS	99	2	2	2
VT	99	2	2	2
VU	99	2	2	2
VV	99	2	2	2
VW	99	2	2	2
VX	99	2	2	2
VA	106	2	2	2
VB	106	2	2	2
VC	106	2	2	2
VD	106	2	2	2
VE	106	2	2	2
VF	106	2	2	2
VG	106	2	2	2
VH	106	2	2	2
VI	106	2	2	2
VJ	106	2	2	2
VK	106	2	2	2
VL	106	2	2	2
VM	106	2	2	2
VN	106	2	2	2
VO	106	2	2	2
VP	106	2	2	2
VQ	106	2	2	2
VR	106	2	2	2
VS	106	2	2	2
VT	106	2	2	2
VU	106	2	2	2
VV	106	2	2	2
VW	106	2	2	2
VX	106	2	2	2
VA	114	2	2	2
VB	114	2	2	2
VC	114	2	2	2
VD	114	2	2	2
VE	114	2	2	2
VF	114	2	2	2
VG	114	2	2	2
VH	114	2	2	2
VI	114	2	2	2
VJ	114	2	2	2
VK	114	2	2	2
VL	114	2	2	2
VM	114	2	2	2
VN	114	2	2	2
VO	114	2	2	2
VP	114	2	2	2
VQ	114	2	2	2
VR	114	2	2	2
VS	114	2	2	2
VT	114	2	2	2
VU	114	2	2	2
VV	114	2	2	2
VW	114	2	2	2
VX	114	2	2	2
VA	136	0.5	0	0.25
VB	136	0	0	0
VC	136	0.5	0.5	0.5
VD	136	0.5	1	0.75
VE	136	0	0	0
VF	136	1	0	0.5
VG	136	0	0	0
VH	136	0.5	0	0.25
VI	136	0	0	0
VJ	136	0	0.5	0.25
VK	136	0.5	0	0.25
VL	136	0	0	0
VM	136	0	0	0
VN	136	0.5	0	0.25
VO	136	1	0.5	0.75
VP	136	1	0	0.5
VQ	136	0.5	0	0.25
VR	136	0	0	0
VS	136	0.5	0	0.25
VT	136	0.5	0	0.25
VU	136	0.5	0	0.25
VV	136	0.5	0	0.25
VW	136	0	0	0
VX	136	0.5	0	0.25
VA	143	0.5	0.5	0.5
VB	143	0.5	1	0.75
VC	143	0.5	0.5	0.5
VD	143	1.5	2	1.75
VE	143	0.5	1	0.75
VF	143	2	2	2
VG	143	0	0	0
VH	143	0.5	0.5	0.5
VI	143	0	0.5	0.25
VJ	143	0.5	0.5	0.5
VK	143	1	1	1
VL	143	0	0	0
VM	143	0.5	0.5	0.5
VN	143	0.5	0.5	0.5
VO	143	1	1	1
VP	143	1	0.5	0.75
VQ	143	0.5	0.5	0.5
VR	143	0.5	0	0.25
VS	143	0.5	0.5	0.5
VT	143	0	0.5	0.25
VU	143	0.5	0	0.25
VV	143	0.5	0.5	0.5
VW	143	0.5	0.5	0.5
VX	143	0.5	0.5	0.5
VA	150	0	0	0
VB	150	0	0	0
VC	150	0	0.5	0.25
VD	150	0.5	1	0.75
VE	150	0	0.5	0.25
VF	150	0	1	0.5
VG	150	0	0.5	0.25
VH	150	0	0	0
VI	150	0	1	0.5
VJ	150	0	0	0
VK	150	0	0	0
VL	150	0	0	0
VM	150	0	0.5	0.25
VN	150	0	0.5	0.25
VO	150	0	1	0.5
VP	150	0	0	0
VQ	150	0	0	0
VR	150	0	0	0
VS	150	0	0.5	0.25
VT	150	0	0.5	0.25
VU	150	0	0	0
VV	150	0	0	0
VW	150	0	0	0
VX	150	0	1	0.5
VA	157	0	0.5	0.25
VB	157	0	0.5	0.25
