animal	dpi	weight
DE2	145	24.8
DE3	145	28.7
DE4	145	29.5
DF1	145	23.7
DF2	145	24.3
DF4	145	22
DG1	145	24.8
DG2	145	28.6
DG3	145	23.3
DH1	145	31.8
DH2	145	25.7
DH3	145	23.6
DH4	145	31
DI3	145	26.1
DI4	145	25.3
DJ1	145	25
DJ3	145	27.9
DJ4	145	32.4
DA1	147	21.8
DA2	147	24.1
DA3	147	21.3
DA4	147	21.2
DB1	147	27
DB2	147	28.5
DB3	147	31.9
DB4	147	22.1
DC3	147	24.4
DC4	147	22.2
DD1	147	21.8
DD2	147	24.3
DD3	147	31.8
DD4	147	24.7
DE1	147	26.5
DE2	147	25.3
DE3	147	28.7
DE4	147	28.9
DF1	147	21.5
DF2	147	22.6
DF4	147	21.3
DG1	147	24.3
DG2	147	27.8
DG3	147	23
DH1	147	31.2
DH2	147	25.6
DH3	147	23.3
DH4	147	30.5
DI3	147	26.1
DI4	147	25
DJ1	147	23.9
DJ3	147	28
DJ4	147	32.2
DA1	150	22.6
DA2	150	24.2
DA3	150	20.1
DA4	150	20.9
DB1	150	26.6
DB2	150	27.7
DB3	150	29.3
DB4	150	21.7
DC3	150	24.3
DC4	150	22.3
DD1	150	22.7
DD2	150	23.7
DD3	150	30.4
DD4	150	24.8
DE1	150	24.8
DE2	150	24.6
DE3	150	29.6
DE4	150	29.5
DF1	150	21.5
DF2	150	22.2
DF4	150	21.8
DG1	150	24.4
DG2	150	27.7
DG3	150	23.4
DH1	150	31.4
DH2	150	25.4
DH3	150	23.1
DH4	150	29.9
DI3	150	25.9
DI4	150	24.5
DJ1	150	23.8
DJ3	150	27.4
DJ4	150	31
DA1	152	22.5
DA2	152	24.6
DA3	152	19.9
DA4	152	20.7
DB1	152	26.9
DB2	152	28.1
DB3	152	30.2
DB4	152	22.3
DC3	152	25.5
DC4	152	22.4
DD1	152	23
DD2	152	24.7
DD3	152	29.7
DD4	152	24.8
DE1	152	25
DE2	152	25
DE3	152	30.6
DE4	152	29.7
DF1	152	19.4
DF2	152	22.3
DF4	152	21.6
DG1	152	24.6
DG2	152	27.9
DG3	152	23.2
