animal	dpi	event
SIY4	-14	icv1
SIY4	78	icv2
SJY1	-14	icv1
SJY1	78	icv2
SJY2	-14	icv1
SJY2	78	icv2
SJY3	-14	icv1
SJY3	78	icv2
SJY4	-14	icv1
SJY4	78	icv2
SAZ1	-14	icv1
SAZ2	-14	icv1
SAZ2	77	icv2
SAZ3	-14	icv1
SAZ3	77	icv2
SAZ4	-14	icv1
SAZ4	77	icv2
SBZ1	-14	icv1
SBZ1	77	icv2
SBZ2	-14	icv1
SBZ2	77	icv2
SBZ3	-14	icv1
SBZ3	77	icv2
SBZ4	-14	icv1
SBZ4	77	icv2
SCZ1	-14	icv1
SCZ1	77	icv2
SCZ2	-14	icv1
SCZ3	-14	icv1
SCZ3	77	icv2
SCZ4	-14	icv1
SCZ4	77	icv2
SDZ1	-14	icv1
SDZ1	77	icv2
SDZ2	-14	icv1
SDZ3	-14	icv1
SDZ4	-14	icv1
SDZ4	77	icv2
SEZ1	-14	icv1
SEZ1	78	icv2
SEZ2	-14	icv1
SEZ2	78	icv2
SEZ3	-14	icv1
SEZ3	78	icv2
SEZ4	-14	icv1
SEZ4	78	icv2
SFZ1	-14	icv1
SFZ1	78	icv2
SFZ2	-14	icv1
SFZ2	78	icv2
SFZ3	-14	icv1
SFZ3	78	icv2
SFZ4	-14	icv1
SFZ4	78	icv2
SGZ1	-14	icv1
SGZ1	78	icv2
SGZ2	-14	icv1
SGZ3	-14	icv1
SGZ3	78	icv2
SGZ4	-14	icv1
SGZ4	78	icv2
SHZ1	-14	icv1
SHZ1	78	icv2
SHZ2	-14	icv1
SHZ2	78	icv2
SHZ3	-14	icv1
SHZ3	78	icv2
SHZ4	-14	icv1
SHZ4	78	icv2
SIZ1	-14	icv1
SIZ1	76	icv2
SIZ2	-14	icv1
SIZ2	76	icv2
SIZ3	-14	icv1
SIZ3	76	icv2
SIZ4	-14	icv1
SJZ1	-14	icv1
SJZ1	76	icv2
SJZ2	-14	icv1
SJZ2	76	icv2
SJZ3	-14	icv1
SJZ3	76	icv2
SJZ4	-14	icv1
SJZ4	76	icv2
TG1	-7	icv1
TG2	-7	icv1
TG2	82	icv2
TG3	-7	icv1
TG3	82	icv2
TG4	-7	icv1
TG4	82	icv2
TI1	-7	icv1
TI1	82	icv2
TI1	173	icv3
TI1	260	icv4
TI2	NA	icv1
TI3	-7	icv1
TI3	82	icv2
TI3	173	icv3
TI3	260	icv4
TI3	351	icv5
TI4	-7	icv1
TI4	82	icv2
TI4	173	icv3
TI4	260	icv4
TI4	351	icv5
TI4	440	icv6
TJ1	-7	icv1
TJ1	82	icv2
TJ2	-7	icv1
TJ2	82	icv2
TJ3	-7	icv1
TJ3	82	icv2
TJ4	-7	icv1
TJ4	82	icv2
TK1	-7	icv1
TK1	82	icv2
TK1	173	icv3
TK1	260	icv4
TK1	351	icv5
TK2	-7	icv1
TK2	82	icv2
TK2	173	icv3
TK2	260	icv4
TK2	351	icv5
TK3	-7	icv1
TK3	82	icv2
TK3	173	icv3
TK3	260	icv4
TK3	351	icv5
TK3	440	icv6
TK4	-7	icv1
TK4	82	icv2
TK4	173	icv3
TK4	260	icv4
TL1	1	icv1
TL1	93	icv2
TL2	1	icv1
TL2	93	icv2
TL3	1	icv1
TL3	93	icv2
TL4	1	icv1
TL4	93	icv2
TM1	1	icv1
TM1	93	icv2
TM1	181	icv3
TM1	271	icv4
TM1	358	icv5
TM1	457	icv6
TM2	1	icv1
TM2	93	icv2
TM2	181	icv3
TM2	271	icv4
TM2	358	icv5
TM2	457	icv6
TM3	1	icv1
TM3	93	icv2
TM3	181	icv3
TM3	271	icv4
