timepoint	saline_itime	saline_n	active_itime	active_n	delta
120	167±9	12	243±50	7	+46%
132	164±14	8	187±57	8	+14%
143	168±7	12	207±65	7	+23%
156	165±5	5	163±5	7	-1%
